Timestamp,Endpoint,Test Type,Location,Provider,Response Time (ms)
2025-12-28 21:33:58,Riyadh (Saudi Arabia),OTHER,Riyadh (Saudi Arabia),N/A,880
2025-12-28 21:33:58,"Dallas (Texas, USA)",OTHER,"Dallas (Texas, USA)",N/A,901
2025-12-28 21:33:58,Bangkok (Thailand),OTHER,Bangkok (Thailand),N/A,1397
2025-12-28 21:33:59,Router,OTHER,Router,N/A,679
2025-12-28 21:34:27,São Paulo (Brazil),OTHER,São Paulo (Brazil),N/A,25
2025-12-28 21:34:27,London (UK),OTHER,London (UK),N/A,24
2025-12-28 21:34:27,GitHub,OTHER,GitHub,N/A,27
2025-12-28 21:34:27,Mexico City (Mexico),OTHER,Mexico City (Mexico),N/A,26
2025-12-28 21:34:27,Pune (India),OTHER,Pune (India),N/A,25
2025-12-28 21:34:27,Mastercard Website,OTHER,Mastercard Website,N/A,41
2025-12-28 21:34:27,Melbourne (Australia),OTHER,Melbourne (Australia),N/A,42
2025-12-28 21:34:27,Johannesburg (South Africa),OTHER,Johannesburg (South Africa),N/A,50
2025-12-28 21:34:27,"San Jose (California, USA)",OTHER,"San Jose (California, USA)",N/A,51
2025-12-28 21:34:27,Paris (France),OTHER,Paris (France),N/A,50
2025-12-28 21:34:27,Google,OTHER,Google,N/A,51
2025-12-28 21:34:27,"Ashburn (Virginia, USA)",OTHER,"Ashburn (Virginia, USA)",N/A,62
2025-12-28 21:34:27,Home Router,OTHER,Home Router,N/A,65
2025-12-28 21:34:27,Sydney (Australia),OTHER,Sydney (Australia),N/A,81
2025-12-28 21:34:27,Mumbai (India),OTHER,Mumbai (India),N/A,98
2025-12-28 21:34:27,Singapore (Singapore),OTHER,Singapore (Singapore),N/A,166
2025-12-28 21:34:27,Tokyo (Japan),OTHER,Tokyo (Japan),N/A,249
2025-12-28 21:34:27,Cape Town (South Africa),OTHER,Cape Town (South Africa),N/A,250
2025-12-28 21:34:27,George Maddaloni Website,OTHER,George Maddaloni Website,N/A,254
2025-12-28 21:34:27,Dubai (UAE),OTHER,Dubai (UAE),N/A,260
2025-12-28 21:34:27,MA Connect Website,OTHER,MA Connect Website,N/A,288
2025-12-28 21:34:27,Frankfurt (Germany),OTHER,Frankfurt (Germany),N/A,494
2025-12-28 21:34:28,"Dallas (Texas, USA)",OTHER,"Dallas (Texas, USA)",N/A,778
2025-12-28 21:34:28,Riyadh (Saudi Arabia),OTHER,Riyadh (Saudi Arabia),N/A,828
2025-12-28 21:34:28,Bangkok (Thailand),OTHER,Bangkok (Thailand),N/A,1110
2025-12-28 21:34:29,Router,OTHER,Router,N/A,673
2025-12-28 21:34:57,GitHub,OTHER,GitHub,N/A,21
2025-12-28 21:34:57,Melbourne (Australia),OTHER,Melbourne (Australia),N/A,21
2025-12-28 21:34:57,London (UK),OTHER,London (UK),N/A,21
2025-12-28 21:34:57,Mexico City (Mexico),OTHER,Mexico City (Mexico),N/A,32
2025-12-28 21:34:57,Pune (India),OTHER,Pune (India),N/A,32
2025-12-28 21:34:57,São Paulo (Brazil),OTHER,São Paulo (Brazil),N/A,36
2025-12-28 21:34:57,Mastercard Website,OTHER,Mastercard Website,N/A,36
2025-12-28 21:34:57,Paris (France),OTHER,Paris (France),N/A,56
2025-12-28 21:34:57,Sydney (Australia),OTHER,Sydney (Australia),N/A,57
2025-12-28 21:34:57,"San Jose (California, USA)",OTHER,"San Jose (California, USA)",N/A,57
2025-12-28 21:34:57,Johannesburg (South Africa),OTHER,Johannesburg (South Africa),N/A,56
2025-12-28 21:34:57,"Ashburn (Virginia, USA)",OTHER,"Ashburn (Virginia, USA)",N/A,58
2025-12-28 21:34:57,Google,OTHER,Google,N/A,61
2025-12-28 21:34:57,Home Router,OTHER,Home Router,N/A,66
2025-12-28 21:34:57,Mumbai (India),OTHER,Mumbai (India),N/A,91
2025-12-28 21:34:57,Singapore (Singapore),OTHER,Singapore (Singapore),N/A,142
2025-12-28 21:34:57,Cape Town (South Africa),OTHER,Cape Town (South Africa),N/A,245
2025-12-28 21:34:57,Tokyo (Japan),OTHER,Tokyo (Japan),N/A,248
2025-12-28 21:34:57,George Maddaloni Website,OTHER,George Maddaloni Website,N/A,262
2025-12-28 21:34:57,Dubai (UAE),OTHER,Dubai (UAE),N/A,299
2025-12-28 21:34:57,MA Connect Website,OTHER,MA Connect Website,N/A,339
2025-12-28 21:34:57,Frankfurt (Germany),OTHER,Frankfurt (Germany),N/A,530
2025-12-28 21:34:58,"Dallas (Texas, USA)",OTHER,"Dallas (Texas, USA)",N/A,800
2025-12-28 21:34:58,Riyadh (Saudi Arabia),OTHER,Riyadh (Saudi Arabia),N/A,826
2025-12-28 21:34:59,Router,OTHER,Router,N/A,679
2025-12-28 21:35:02,Bangkok (Thailand),OTHER,Bangkok (Thailand),N/A,5437
2025-12-28 21:35:27,London (UK),OTHER,London (UK),N/A,23
2025-12-28 21:35:27,Pune (India),OTHER,Pune (India),N/A,22
2025-12-28 21:35:27,GitHub,OTHER,GitHub,N/A,23
2025-12-28 21:35:27,Mexico City (Mexico),OTHER,Mexico City (Mexico),N/A,24
2025-12-28 21:35:27,Melbourne (Australia),OTHER,Melbourne (Australia),N/A,45
2025-12-28 21:35:27,Mastercard Website,OTHER,Mastercard Website,N/A,45
2025-12-28 21:35:27,Sydney (Australia),OTHER,Sydney (Australia),N/A,47
2025-12-28 21:35:27,Johannesburg (South Africa),OTHER,Johannesburg (South Africa),N/A,49
2025-12-28 21:35:27,Google,OTHER,Google,N/A,54
2025-12-28 21:35:27,"Ashburn (Virginia, USA)",OTHER,"Ashburn (Virginia, USA)",N/A,54
2025-12-28 21:35:27,Paris (France),OTHER,Paris (France),N/A,63
2025-12-28 21:35:27,Home Router,OTHER,Home Router,N/A,71
2025-12-28 21:35:27,Mumbai (India),OTHER,Mumbai (India),N/A,76
2025-12-28 21:35:27,"San Jose (California, USA)",OTHER,"San Jose (California, USA)",N/A,81
2025-12-28 21:35:27,Singapore (Singapore),OTHER,Singapore (Singapore),N/A,118
2025-12-28 21:35:27,Dubai (UAE),OTHER,Dubai (UAE),N/A,221
2025-12-28 21:35:27,Cape Town (South Africa),OTHER,Cape Town (South Africa),N/A,241
2025-12-28 21:35:27,George Maddaloni Website,OTHER,George Maddaloni Website,N/A,243
2025-12-28 21:35:27,MA Connect Website,OTHER,MA Connect Website,N/A,241
2025-12-28 21:35:27,Tokyo (Japan),OTHER,Tokyo (Japan),N/A,259
2025-12-28 21:35:27,São Paulo (Brazil),OTHER,São Paulo (Brazil),N/A,385
2025-12-28 21:35:27,Frankfurt (Germany),OTHER,Frankfurt (Germany),N/A,539
2025-12-28 21:35:27,"Dallas (Texas, USA)",OTHER,"Dallas (Texas, USA)",N/A,648
2025-12-28 21:35:28,Riyadh (Saudi Arabia),OTHER,Riyadh (Saudi Arabia),N/A,831
2025-12-28 21:35:28,Bangkok (Thailand),OTHER,Bangkok (Thailand),N/A,1087
2025-12-28 21:35:29,Router,OTHER,Router,N/A,680
2025-12-28 21:35:57,London (UK),OTHER,London (UK),N/A,31
2025-12-28 21:35:57,Melbourne (Australia),OTHER,Melbourne (Australia),N/A,31
2025-12-28 21:35:57,Sydney (Australia),OTHER,Sydney (Australia),N/A,30
2025-12-28 21:35:57,GitHub,OTHER,GitHub,N/A,31
2025-12-28 21:35:57,Mastercard Website,OTHER,Mastercard Website,N/A,31
2025-12-28 21:35:57,Mexico City (Mexico),OTHER,Mexico City (Mexico),N/A,32
2025-12-28 21:35:57,Pune (India),OTHER,Pune (India),N/A,32
2025-12-28 21:35:57,São Paulo (Brazil),OTHER,São Paulo (Brazil),N/A,35
2025-12-28 21:35:57,Johannesburg (South Africa),OTHER,Johannesburg (South Africa),N/A,43
2025-12-28 21:35:57,Google,OTHER,Google,N/A,53
2025-12-28 21:35:57,Paris (France),OTHER,Paris (France),N/A,52
2025-12-28 21:35:57,"Ashburn (Virginia, USA)",OTHER,"Ashburn (Virginia, USA)",N/A,54
2025-12-28 21:35:57,"San Jose (California, USA)",OTHER,"San Jose (California, USA)",N/A,61
2025-12-28 21:35:57,Home Router,OTHER,Home Router,N/A,69
2025-12-28 21:35:57,Mumbai (India),OTHER,Mumbai (India),N/A,91
2025-12-28 21:35:57,Singapore (Singapore),OTHER,Singapore (Singapore),N/A,124
2025-12-28 21:35:57,Tokyo (Japan),OTHER,Tokyo (Japan),N/A,245
2025-12-28 21:35:57,Cape Town (South Africa),OTHER,Cape Town (South Africa),N/A,244
2025-12-28 21:35:57,George Maddaloni Website,OTHER,George Maddaloni Website,N/A,256
2025-12-28 21:35:57,MA Connect Website,OTHER,MA Connect Website,N/A,290
2025-12-28 21:35:57,Frankfurt (Germany),OTHER,Frankfurt (Germany),N/A,486
2025-12-28 21:35:57,Dubai (UAE),OTHER,Dubai (UAE),N/A,538
2025-12-28 21:35:58,"Dallas (Texas, USA)",OTHER,"Dallas (Texas, USA)",N/A,805
2025-12-28 21:35:58,Riyadh (Saudi Arabia),OTHER,Riyadh (Saudi Arabia),N/A,815
2025-12-28 21:35:58,Bangkok (Thailand),OTHER,Bangkok (Thailand),N/A,1410
2025-12-28 21:35:59,Router,OTHER,Router,N/A,675
2025-12-28 21:48:32,"Bangkok, TH [GCP] - HTTP",HTTP,"Bangkok, TH",GCP,148
2025-12-28 21:48:32,"Bangkok, TH [GCP] - DNS",DNS,"Bangkok, TH",GCP,56
2025-12-28 21:49:02,"Bangkok, TH [GCP] - HTTP",HTTP,"Bangkok, TH",GCP,124
2025-12-28 21:49:02,"Bangkok, TH [GCP] - DNS",DNS,"Bangkok, TH",GCP,22
2025-12-28 22:00:31,"Paris, FR [AWS] - PING",PING,"Paris, FR",AWS,91
2025-12-28 22:01:01,"Cape Town, ZA [AWS] - DNS",DNS,"Cape Town, ZA",AWS,53
2025-12-28 22:01:01,"Cape Town, ZA [AWS] - PING",PING,"Cape Town, ZA",AWS,294
2025-12-28 22:01:01,"São Paulo, BR [AWS] - PING",PING,"São Paulo, BR",AWS,123
