2025-12-28 21:05:36 | [UP] MA Connect Website             | Type: http | Response: 0.23s
2025-12-28 21:05:36 | [UP] Cape Town, SA (UCT)            | Type: http | Response: 0.24s
2025-12-28 21:05:37 | [UP] George Maddaloni Website       | Type: http | Response: 0.33s
2025-12-28 21:05:38 | [UP] Router (ping)                  | Type: ping | Response: 0.69s
2025-12-28 21:05:38 | [UP] Google DNS                     | Type: ping | Response: 0.69s
2025-12-28 21:06:06 | [UP] Mastercard Website             | Type: http | Response: 0.03s
2025-12-28 21:06:06 | [UP] GitHub                         | Type: http | Response: 0.03s
2025-12-28 21:06:06 | [UP] Home Router                    | Type: http | Response: 0.04s
2025-12-28 21:06:06 | [UP] Google                         | Type: http | Response: 0.12s
2025-12-28 21:06:06 | [UP] George Maddaloni Website       | Type: http | Response: 0.24s
2025-12-28 21:06:06 | [UP] Cape Town, SA (UCT)            | Type: http | Response: 0.25s
2025-12-28 21:06:07 | [UP] MA Connect Website             | Type: http | Response: 0.26s
2025-12-28 21:06:08 | [UP] Router (ping)                  | Type: ping | Response: 0.68s
2025-12-28 21:06:08 | [UP] Google DNS                     | Type: ping | Response: 0.68s
2025-12-28 21:06:36 | [UP] GitHub                         | Type: http | Response: 0.02s
2025-12-28 21:06:36 | [UP] Mastercard Website             | Type: http | Response: 0.03s
2025-12-28 21:06:36 | [UP] Home Router                    | Type: http | Response: 0.04s
2025-12-28 21:06:36 | [UP] Google                         | Type: http | Response: 0.11s
2025-12-28 21:06:36 | [UP] Cape Town, SA (UCT)            | Type: http | Response: 0.24s
2025-12-28 21:06:36 | [UP] George Maddaloni Website       | Type: http | Response: 0.24s
2025-12-28 21:06:37 | [UP] MA Connect Website             | Type: http | Response: 0.31s
2025-12-28 21:06:38 | [UP] Router (ping)                  | Type: ping | Response: 0.68s
2025-12-28 21:06:38 | [UP] Google DNS                     | Type: ping | Response: 0.68s
2025-12-28 21:07:06 | [UP] Mastercard Website             | Type: http | Response: 0.02s
2025-12-28 21:07:06 | [UP] Home Router                    | Type: http | Response: 0.04s
2025-12-28 21:07:06 | [UP] Google                         | Type: http | Response: 0.11s
2025-12-28 21:07:06 | [UP] GitHub                         | Type: http | Response: 0.12s
2025-12-28 21:07:06 | [UP] George Maddaloni Website       | Type: http | Response: 0.23s
2025-12-28 21:07:06 | [UP] Cape Town, SA (UCT)            | Type: http | Response: 0.24s
