Endpoint,Test Type,Location,Provider,Latest Response Time (ms),Timestamp,vs Baseline (%),Status
Router,OTHER,Router,N/A,675,2025-12-28 21:35:59,-0.15,NORMAL
"San Jose (California, USA)",OTHER,"San Jose (California, USA)",N/A,61,2025-12-28 21:35:57,-36.46,NORMAL
"San Jose, CA [AWS] - DNS",DNS,"San Jose, CA",AWS,82,2025-12-28 22:05:31,-5.75,NORMAL
"San Jose, CA [AWS] - HTTP",HTTP,"San Jose, CA",AWS,319,2025-12-28 22:05:31,-9.12,NORMAL
"San Jose, CA [AWS] - PING",PING,"San Jose, CA",AWS,76,2025-12-28 22:05:31,-9.52,NORMAL
"Seoul, KR [AWS] - DNS",DNS,"Seoul, KR",AWS,81,2025-12-28 22:05:31,-8.99,NORMAL
"Seoul, KR [AWS] - HTTP",HTTP,"Seoul, KR",AWS,747,2025-12-28 22:05:31,-0.66,NORMAL
"Seoul, KR [AWS] - PING",PING,"Seoul, KR",AWS,214,2025-12-28 22:05:31,-0.93,NORMAL
Singapore (Singapore),OTHER,Singapore (Singapore),N/A,124,2025-12-28 21:35:57,-29.55,NORMAL
"Singapore, SG [AWS] - DNS",DNS,"Singapore, SG",AWS,80,2025-12-28 22:05:31,-31.62,NORMAL
"Singapore, SG [AWS] - HTTP",HTTP,"Singapore, SG",AWS,843,2025-12-28 22:05:31,-3.88,NORMAL
"Singapore, SG [AWS] - PING",PING,"Singapore, SG",AWS,241,2025-12-28 22:05:31,-3.98,NORMAL
"Stockholm, SE [AWS] - DNS",DNS,"Stockholm, SE",AWS,61,2025-12-28 22:05:31,-24.69,NORMAL
"Stockholm, SE [AWS] - HTTP",HTTP,"Stockholm, SE",AWS,390,2025-12-28 22:05:31,-7.14,NORMAL
"Stockholm, SE [AWS] - PING",PING,"Stockholm, SE",AWS,103,2025-12-28 22:05:31,-7.21,NORMAL
Sydney (Australia),OTHER,Sydney (Australia),N/A,30,2025-12-28 21:35:57,-54.55,FAST
"Sydney, AU [AWS] - DNS",DNS,"Sydney, AU",AWS,90,2025-12-28 22:05:31,-5.26,NORMAL
"Sydney, AU [AWS] - HTTP",HTTP,"Sydney, AU",AWS,730,2025-12-28 22:05:31,-6.05,NORMAL
"Sydney, AU [AWS] - PING",PING,"Sydney, AU",AWS,209,2025-12-28 22:05:31,-2.79,NORMAL
São Paulo (Brazil),OTHER,São Paulo (Brazil),N/A,35,2025-12-28 21:35:57,-72.00,FAST
"São Paulo, BR [AWS] - DNS",DNS,"São Paulo, BR",AWS,90,2025-12-28 22:05:31,8.43,NORMAL
"São Paulo, BR [AWS] - HTTP",HTTP,"São Paulo, BR",AWS,472,2025-12-28 22:05:31,-1.67,NORMAL
"São Paulo, BR [AWS] - PING",PING,"São Paulo, BR",AWS,125,2025-12-28 22:05:31,-6.72,NORMAL
Tokyo (Japan),OTHER,Tokyo (Japan),N/A,245,2025-12-28 21:35:57,-30.00,NORMAL
"Tokyo, JP [AWS] - DNS",DNS,"Tokyo, JP",AWS,90,2025-12-28 22:05:31,-3.23,NORMAL
"Tokyo, JP [AWS] - HTTP",HTTP,"Tokyo, JP",AWS,651,2025-12-28 22:05:31,-4.96,NORMAL
"Tokyo, JP [AWS] - PING",PING,"Tokyo, JP",AWS,185,2025-12-28 22:05:31,-1.07,NORMAL
